類別,名稱,地址,經度座標,緯度座標,裝置容量-瓩,行政區
機關,內湖再生傢俱展示場,臺北市內湖區行忠路178巷1號,121.5841861,25.0664027,10.84,內湖區
機關,貓纜遊客中心,臺北市文山區指南路三段38巷35號,121.5882972,24.9689141,10.0,文山區
機關,民族公園,臺北市中山區新生北路三段158號,121.5273779,25.0713839,9.24,中山區
機關,臺北市立書館石牌分館,臺北市北投區明德路208巷5號,121.5226242,25.1131424,8.64,北投區
機關,舊就業服務處,臺北市大同區承德路3段287之1號,121.520209,25.074204,8.64,大同區
機關,內雙溪自然中心,臺北市士林區至善路三段150巷27號,121.5778242,25.1145025,7.8,士林區
機關,至善老人安養護中心,臺北市士林區仰德大道二段2巷50號,121.5432482,25.1019103,6.3,士林區
機關,臺北市政府消防局-文山中隊,臺北市文山區樟新街2號,121.5549335,24.9798856,6.195,文山區
機關,大安區大安森林公園,臺北市大安區新生南路二段1號,121.535552,25.0310609,5.712,大安區
機關,萬華運動中心,臺北市萬華區西寧南路6-1號,121.5067531,25.0474081,5.2,萬華區
機關,臺北市市政府,臺北市信義區市府路1號,121.5639969,25.037531,5.0,信義區
機關,康樂里里民活動中心,臺北市中山區南京東路一段35號,121.5267934,25.0528945,3.82,中山區
機關,公共住宅-興隆一區(12號、16號、18號、20號、22號、26號、28號、30號),臺北市文山區木柵路2段2巷12號,121.557859,24.988296,3.12,文山區
機關,公共住宅-興隆一區(32號、36號、38號、40號、42號、46號、48號、50號),臺北市文山區木柵路2段2巷32號,121.5580362,24.9880713,3.12,文山區
機關,二二八和平紀念公園,臺北市中正區凱達格蘭大道3號,121.5154926,25.0403577,2.16,中正區
機關,臺北市政府都市發展局,臺北市南港區南港路2段60巷19號(東明公宅),121.6042106,25.05483107,10.2,南港區
機關,臺北市政府都市發展局,臺北市南港區南港路2段60巷17、19號(東明公宅),121.6042106,25.05483107,70.2,南港區
機關,臺北市政府工務局水利工程處,臺北市北投區洲美街2號,121.51086,25.09997301,4.88,北投區
機關,臺北市停車管理工程處,臺北市信義區信安街49號的景勤2號(公園停車場),121.5582152,25.02681734,19.2,信義區
機關,臺北市立天文科學教育館,臺北市士林區基河路363號,121.519038,25.09604172,9.76,士林區
學校,臺北市溪山國民小學,111臺北市士林區至善路三段199號,121.5800082,25.1197454,2.1,士林區
學校,臺北市麗山高級中學,114臺北市內湖區環山路二段100號,121.5778933,25.0841176,3.14,內湖區
學校,臺北市興雅國民小學,110臺北市信義區基隆路一段83巷9號,121.5700216,25.046751,3.15,信義區
學校,臺北市百齡國民小學,111臺北市士林區福港街205號,121.5179,25.08615,3.22,士林區
學校,臺北市至善國民中學,111臺北市士林區至善路二段360號,121.5556,25.10364,3.4,士林區
學校,臺北市大安國民小學,106臺北市大安區臥龍街129號,121.5504,25.01893,3.67,大安區
學校,臺北市文昌國民小學,111臺北市士林區文林路615巷20號,121.522,25.09935,3.67,士林區
學校,臺北市葫蘆國民小學,111臺北市士林區環河北路三段95號,121.5069631,25.0837421,3.67,士林區
學校,臺北市湖山國民小學,112臺北市北投區湖底路11號,121.535435,25.1496532,3.67,北投區
學校,臺北市至善國民中學,111臺北市士林區至善路二段360號,121.5556,25.10364,3.74,士林區
學校,臺北市濱江國民小學,104臺北市中山區樂群二路266巷99號,121.5616369,25.0780014,3.78,中山區
學校,臺北市中崙高級中學,105臺北市松山區八德路四段101號,121.5612,25.04872,3.78,松山區
學校,臺北市南港高級工業職業學校,115臺北市南港區興中路29號,121.6073,25.05634,3.78,南港區
學校,臺北市古亭國民中學,100臺北市中正區中華路二段465號,121.511,25.02461,3.96,中正區
學校,臺北市長安國民小學,104臺北市中山區吉林路15號,121.5302,25.0498,3.96,中山區
學校,臺北市胡適國民小學,115臺北市南港區舊莊街一段1號,121.6172346,25.0423894,4.0,南港區
學校,臺北市福德國民小學,110臺北市信義區福德街253號,121.5865301,25.0388201,4.05,信義區
學校,臺北市福星國民小學,108臺北市萬華區中華路一段66號,121.5088406,25.0468125,6.48,萬華區
學校,臺北市內湖國民中學,114臺北市內湖區陽光街1號,121.5887,25.07704,8.28,內湖區
學校,臺北市信義國民小學,110臺北市信義區松勤街60號,121.563181,25.031566,9.8,信義區
學校,臺北市文昌國民小學,111臺北市士林區文林路615巷20號,121.522,25.09935,10.08,士林區
學校,臺北市南湖國民小學,114臺北市內湖區康寧路三段200號,121.6118,25.06819,10.56,內湖區
學校,臺北市南港國民小學,115臺北市南港區惠民街67號,121.6101226,25.0574484,10.56,南港區
學校,臺北市士林國民中學,111臺北市士林區中正路345號,121.522645,25.0943734,19.89,士林區
學校,臺北市萬華國民中學,108臺北市萬華區西藏路201號,121.4987891,25.0291092,20.0,萬華區
學校,臺北市東湖國民小學,114臺北市內湖區東湖路115號,121.6155,25.06884,20.0,內湖區
學校,臺北市興雅國民中學,110臺北市信義區松德路168巷15號,121.572237,25.0364201,20.39,信義區
學校,臺北市建國高級中學,100臺北市中正區南海路56號,121.5122,25.03092,20.7,中正區
學校,臺北市南港高級工業職業學校,115臺北市南港區興中路29號,121.6073,25.05634,23.5,南港區
學校,臺北市立農國民小學,112臺北市北投區立農街一段250號,121.505032,25.119493,24.96,北投區
學校,臺北市大同國民小學,103臺北市大同區大龍街51號,121.5161397,25.0648723,25.92,大同區
學校,臺北市芝山國民小學,111臺北市士林區德行東路285號,121.5364,25.11029,27.6,士林區
學校,臺北市成功高級中學,100臺北市中正區濟南路一段71號,121.5236872,25.0423335,28.8,中正區
學校,臺北市石牌國民小學,112臺北市北投區致遠二路80號,121.5117379,25.1157413,28.8,北投區
學校,臺北市萬芳高級中學,116臺北市文山區興隆路三段115巷1號,121.5589135,25.0006248,30.0,文山區
學校,臺北市萬福國民小學,116臺北市文山區羅斯福路五段170巷32號,121.5366774,25.0048433,31.05,文山區
學校,臺北市忠孝國民中學,103臺北市大同區西寧北路32號,121.5082,25.05122,32.64,大同區
學校,臺北市明湖國民中學,114臺北市內湖區康寧路3段60號,121.6106,25.07062,35.4,內湖區
學校,臺北市麗湖國民小學,114臺北市內湖區金湖路363巷8號,121.601146,25.072992,37.52,內湖區
學校,臺北市螢橋國民小學,100臺北市中正區詔安街29號,121.5144,25.02514,42.48,中正區
學校,臺北市大佳國民小學,104臺北市中山區濱江街107號,121.5364,25.07335,43.4,中山區
學校,臺北市南海實驗幼兒園,108臺北市萬華區西藏路424號,121.4976,25.02967,44.64,萬華區
學校,臺北市健康國民小學,105臺北市松山區延壽街166、168號,121.5628,25.05659,45.36,松山區
學校,臺北市龍安國民小學,106臺北市大安區新生南路三段33號,121.5348854,25.0239215,48.0,大安區
學校,臺北市龍山國民中學,108臺北市萬華區南寧路46號,121.504618,25.0360766,50.0,萬華區
學校,臺北市大湖國民小學,114臺北市內湖區大湖山莊街170號,121.6011,25.08777,50.6,內湖區
學校,臺北市興雅國民小學,110臺北市信義區基隆路一段83巷9號,121.5700216,25.046751,51.6,信義區
學校,臺北市福星國民小學,108臺北市萬華區中華路一段66號,121.5088406,25.0468125,52.17,萬華區
學校,臺北市雙園國民小學,108臺北市萬華區莒光路315號,121.4986,25.03082,56.64,萬華區
學校,臺北市景興國民小學,116臺北市文山區景華街150巷21號,121.5485,24.99622,56.64,文山區
學校,臺北市文山特殊教育學校,116臺北市文山區秀明路1段169號,121.5634,24.98928,58.56,文山區
學校,臺北市新生國民小學,106臺北市大安區新生南路2段36號,121.5333,25.02967,70.76,大安區
學校,臺北市金華國民中學,106臺北市大安區新生南路二段32號,121.533178,25.0312012,70.8,大安區
學校,臺北市雙園國民中學,108臺北市萬華區興義街2號,121.4926,25.02757,70.8,萬華區
學校,臺北市三興國民小學,110臺北市信義區基隆路2段99號,121.5583,25.02947,70.8,信義區
學校,臺北市士林國民小學,111臺北市士林區大東路165號,121.5249,25.0933,70.8,士林區
學校,臺北市西湖國民小學,114臺北市內湖區環山路1段25號,121.5657,25.08383,70.8,內湖區
學校,臺北市胡適國民小學,115臺北市南港區舊莊街1段1號,121.6172,25.04239,73.2,南港區
學校,臺北市大湖國民小學,114臺北市內湖區大湖山莊街170號,121.6011,25.08777,74.4,內湖區
學校,臺北市華江國民小學,108臺北市萬華區環河南路2段250巷42弄2號,121.4908,25.03377,81.42,萬華區
學校,臺北市老松國民小學,108臺北市萬華區桂林路64號,121.5027,25.03805,84.96,萬華區
學校,臺北市南湖國民小學,114臺北市內湖區康寧路3段200號,121.6118,25.06819,84.96,內湖區
學校,臺北市富安國民小學,111臺北市士林區延平北路8段135號,121.4824,25.10587,94.4,士林區
學校,臺北市松山高級商業家事職業學校,110臺北市信義區松山路655號,121.5805,25.03502,95.16,信義區
學校,臺北市民權國民小學,105臺北市松山區民權東路4段200號,121.5623,25.06239,95.58,松山區
學校,臺北市興華國民小學,116臺北市文山區興隆路3段125巷6號,121.5587,24.99883,97.6,文山區
學校,臺北市建安國民小學,106臺北市大安區大安路2段99號,121.5462,25.02936,99.12,大安區
學校,臺北市士林高級職業學校,111臺北市士林區士商路150號,121.5166,25.0946,99.71,士林區
學校,臺北市興隆國民小學,116臺北市文山區福興路2號,121.5519,25.00248,99.71,文山區
學校,臺北市南港國民小學,115臺北市南港區惠民街67號,121.6101,25.05745,107.88,南港區
學校,臺北市育成高級中學,115臺北市南港區重陽路366號,121.6093,25.0586,111.6,南港區
學校,臺北市雙蓮國民小學,103臺北市大同區錦西街51號,121.5163,25.06027,113.28,大同區
學校,臺北市公館國民小學,106臺北市大安區基隆路4段41巷68弄2號,121.5428,25.0124,113.28,大安區
學校,臺北市新民國民中學,112臺北市北投區新民路10號,121.5076,25.1381,124.44,北投區
學校,臺北市南門國民中學,100臺北市中正區廣州街6號,121.5091,25.03527,127.44,中正區
學校,臺北市中崙高級中學,105臺北市松山區八德路4段101號,121.5612,25.04872,130.2,松山區
學校,臺北市松山高級工農職業學校,110臺北市信義區忠孝東路5段236巷15號,121.5721,25.03963,133.92,信義區
學校,臺北市文林國民小學,112臺北市北投區文林北路155號,121.5148,25.10591,133.92,北投區
學校,臺北市新興國民中學,104臺北市中山區林森北路511號,121.5258,25.06198,141.6,中山區
學校,臺北市萬興國民小學,116臺北市文山區秀明路2段114號,121.5766,24.99043,146.4,文山區
學校,臺北市興雅國民中學,110臺北市信義區松德路168巷15號,121.5722,25.03642,148.8,信義區
學校,臺北市大學附設實驗國民小學,100臺北市中正區公園路29號,121.5152,25.03607,155.76,中正區
學校,臺北市中山女子高級中學,104臺北市中山區長安東路2段141號,121.5372,25.04851,155.76,中山區
學校,臺北市立芳和實驗國民中學,106臺北市大安區臥龍街170號,121.5503,25.01875,169.92,大安區
學校,臺北市信義國民小學,110臺北市信義區松勤街60號,121.5632,25.03157,169.92,信義區
學校,臺北市福安國民中學,111臺北市士林區延平北路7段250號,121.4881,25.10285,169.92,士林區
學校,臺北市南湖高級中學,114臺北市內湖區康寧路3段220號,121.6105,25.06646,169.92,內湖區
學校,臺北市實踐國民中學,116臺北市文山區辛亥路7段67號,121.5548,24.98343,169.92,文山區
學校,臺北市西園國民小學,108臺北市萬華區東園街73巷65號,121.4983,25.02711,186.0,萬華區
學校,臺北市新湖國民小學,114臺北市內湖區民權東路6段138號,121.5885,25.06823,198.24,內湖區
學校,臺北市中正國民中學,100臺北市中正區愛國東路158號,121.522,25.03236,202.74,中正區
學校,臺北市桃源國民小學,112臺北市北投區中央北路3段40巷45號,121.4845,25.1397,212.4,北投區
學校,臺北市敦化國民中學,105臺北市松山區南京東路3段300號,121.5467,25.05157,226.56,松山區
學校,臺北市辛亥國民小學,116臺北市文山區辛亥路4段103號,121.5592,25.00643,234.24,文山區
學校,臺北市文湖國民小學,114臺北市內湖區文湖街15號,121.5601,25.08574,240.72,內湖區
學校,臺北市西湖國民中學,114臺北市內湖區環山路1段27號,121.5658,25.08518,240.72,內湖區
學校,臺北市成德國民中學,115臺北市南港區東新街108巷23號,121.5877,25.04502,252.96,南港區
學校,臺北市大安國民小學,106臺北市大安區臥龍街129號,121.5504,25.01893,254.88,大安區
學校,臺北市大理高級中學,108臺北市萬華區長順街2號,121.4912,25.03086,254.88,萬華區
學校,臺北市蘭雅國民小學,111臺北市士林區磺溪街57號,121.5231,25.10842,254.88,士林區
學校,臺北市三民國民中學,114臺北市內湖區民權東路6段45號,121.5864,25.06915,254.88,內湖區
學校,臺北市西松高級中學,105臺北市松山區健康路325巷7號,121.5671,25.05555,261.96,松山區
學校,臺北市啟明學校,111臺北市士林區忠誠路2段207巷1號,121.535,25.1167,290.16,士林區
學校,臺北市松山高級中學,110臺北市信義區基隆路1段156號,121.5654,25.0435,297.36,信義區
學校,臺北市萬華國民中學,108臺北市萬華區西藏路201號,121.4988,25.02911,300.12,萬華區
學校,臺北市天母國民中學,111臺北市士林區天母東路120號,121.5382,25.11807,424.8,士林區
學校,臺北市大同高級中學,104臺北市中山區長春路167號,121.5353,25.05502,446.52,中山區
學校,臺北市內湖高級工業職業學校,114臺北市內湖區內湖路1段520號,121.5753,25.07942,481.44,內湖區
學校,臺北市百齡高級中學,111臺北市士林區承德路4段177號,121.523,25.08706,498.96,士林區
學校,臺北市立關渡國民中學,112臺北市北投區知行路212號,121.4676223,25.1197183,19.845,北投區
學校,臺北市太平國民小學,103台北市大同區延平北路二段239號,121.5114,25.06138,54.6,大同區
學校,臺北市中山國民小學,104臺北市中山區民權東路一段69號,121.5264,25.06305,97.5,中山區
學校,臺北市雨聲國民小學,111台北市士林區至誠路一段62巷70號,121.5353,25.10266,99.775,士林區
學校,臺北市信義區光復國民小學,110臺北市信義區光復南路271號,121.5578014,25.0401432,99.775,信義區
學校,臺北市蘭州國民中學,103台北市大同區大龍街187巷1號,121.5167,25.06932,495.3,大同區
學校,臺北市松山區西松國民小學,臺北市松山區三民路5號,121.5628868,25.05294327,95.225,松山區
學校,臺北市博嘉實驗國民小學,臺北市文山區木柵路4段159巷14之1號,121.5757911,25.00196588,99.45,文山區
學校,臺北市文山區景美國民小學,臺北市文山區景文街108號、142巷2號,121.5407,24.9895,152.1,文山區
學校,臺北市立仁愛國民中學,臺北市大安區仁愛路4段130號,121.5508,25.0374,37.7,大安區
,,,,,,
,,,,,,
